name,description,category,price,currency,quantity,sku,tags,productType
Ocean Wave Resin Art | Blue Tidal Wall Décor,Stunning ocean wave design captured in premium epoxy resin with vivid blue hues. Handcrafted by skilled artisans — each piece is unique.,Resin Art,1299,INR,8,RES-001,"resin,wall decor,ocean,blue,handcrafted",physical
Resin Coaster Set | Gold-Flecked Agate Design,Set of 4 premium resin coasters with embedded gold flecks mimicking natural agate stone. Heat-resistant and glossy finish.,Resin Art,799,INR,15,RES-002,"resin,coaster,gold,agate,set of 4",physical
Resin River Table Bookmark | Wooden Inlay,Elegant bookmark with a river-effect resin inlay in natural wood. Lightweight and durable — a perfect gift for book lovers.,Resin Art,349,INR,30,RES-003,"resin,bookmark,river,wooden,gift",physical
Resin Jewellery Tray | Peacock Feather Embed,Decorative jewellery tray with real peacock feathers embedded in crystal-clear resin. Functional and beautiful desk accessory.,Resin Art,599,INR,12,RES-004,"resin,jewellery tray,peacock,feather,decor",physical
Resin Keychain | Galaxy Glitter Drop,Handmade teardrop keychain with swirling galaxy glitter suspended in clear resin. Lightweight and colourful — available in 5 colour combos.,Resin Art,199,INR,50,RES-005,"resin,keychain,galaxy,glitter,handmade",physical
Madhubani Painting | Fish Pair Bridal Motif,Traditional Madhubani painting featuring the iconic fish pair — a symbol of prosperity in Bihari folk art. Hand-painted on handmade paper with natural colours.,Madhubani Art,2499,INR,5,MAD-001,"madhubani,painting,fish,bridal,folk art,bihar",physical
Madhubani Wall Art | Lord Ganesha in Traditional Style,Beautifully detailed Madhubani depiction of Lord Ganesha surrounded by floral motifs. Natural earth pigments on thick cotton canvas.,Madhubani Art,1799,INR,7,MAD-002,"madhubani,ganesha,wall art,traditional,religious",physical
Madhubani Canvas Print | Dancing Peacock,Vibrant canvas print of a dancing peacock in the signature Madhubani style — bold outlines with geometric infill patterns.,Madhubani Art,999,INR,20,MAD-003,"madhubani,peacock,canvas,print,colorful",physical
Madhubani Greeting Card Set | Festive Collection,Set of 8 hand-illustrated greeting cards with Madhubani motifs — perfect for festivals and special occasions.,Madhubani Art,399,INR,35,MAD-004,"madhubani,greeting card,festive,gift,set",physical
Madhubani Lampshade | Traditional Motifs,Fabric lampshade hand-painted with iconic Madhubani patterns. Diffuses warm light beautifully. Compatible with standard E27 bulbs.,Madhubani Art,1499,INR,6,MAD-005,"madhubani,lampshade,motifs,lighting,home decor",physical
Warli Art Canvas | Village Life Scene,Authentic Warli painting depicting a joyful village festival scene. White pigment on natural terracotta-coloured canvas — raw and striking.,Warli Art,1899,INR,6,WAR-001,"warli,canvas,village,tribal art,maharashtra",physical
Warli Print Cushion Cover | Tribal Dance Pattern,Cotton cushion cover screen-printed with Warli tribal dance motifs. Fits standard 16×16 inch inserts. Machine washable.,Warli Art,499,INR,25,WAR-002,"warli,cushion,tribal,dance,cotton",physical
Warli Bamboo Tray | Forest Theme,Handcrafted bamboo serving tray with Warli forest-life artwork painted on the base. Eco-friendly and food-safe finish.,Warli Art,749,INR,10,WAR-003,"warli,bamboo,forest,tray,eco-friendly",physical
Warli Art Notebook | A5 Handmade Cover,A5 size notebook with a hand-drawn Warli art cover on recycled handmade paper. 120 blank pages — journaling or sketching.,Warli Art,299,INR,40,WAR-004,"warli,notebook,handmade,journal,A5",physical
Warli Art Wall Clock | Bamboo Frame,Round wall clock with a Warli art print face encased in a natural bamboo frame. Silent quartz movement. Battery included.,Warli Art,1199,INR,8,WAR-005,"warli,wall clock,bamboo,home decor,silent",physical
Kalamkari Wall Tapestry | Mahabharata Battle Scene,Large hand-painted Kalamkari tapestry depicting the epic Kurukshetra battle. Vegetable dyes on fine cotton. Rich colours that age gracefully.,Kalamkari,3999,INR,3,KAL-001,"kalamkari,tapestry,mahabharata,epic,wall art,andhra",physical
Kalamkari Saree | Black & White Mythological Print,Elegant cotton saree with Kalamkari printed border and pallu featuring mythological scenes. Black and white palette — timeless and versatile.,Kalamkari,2799,INR,5,KAL-002,"kalamkari,saree,mythological,black white,cotton",physical
Kalamkari Tote Bag | Hand-painted Lotus Design,Eco-friendly cotton canvas tote bag with a bold hand-painted Kalamkari lotus motif. Sturdy handles and spacious interior.,Kalamkari,849,INR,20,KAL-003,"kalamkari,tote bag,lotus,handpainted,eco",physical
